Term,event,date,source
Fall 2025,Classes Begin,Aug. 13,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Drop / Add for undergraduate and graduate level courses,Aug. 13 - 19,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Labor Day - No Classes,Sept. 1,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Midterm,Oct. 6,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Fall Break- No Classes,Oct. 31,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Withdrawal Deadline,Nov. 12,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Last Day of Classes prior to Thanksgiving Break,Nov. 25,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Thanksgiving - No Classes,Nov. 26- 28,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes Resume,Dec. 1,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Friday Class Schedule in Effect,Dec. 2,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes End,Dec. 2,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Reading Day,Dec. 3,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Final Exams,Dec. 4 - 10,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Commencement,Dec. 12,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Grades Due,Dec. 15,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Begin,Jan. 12,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Drop / Add for undergraduate and graduate level courses,Jan. 12-16,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Holiday: Martin Luther King Jr. Day- No Classes,Jan. 19,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Midterm,2-Mar,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Last Day of Classes prior to Spring Break,Mar. 6,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Spring Break- No Classes,Mar. 9-13,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Resume,Mar. 16,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Withdrawal Deadline,9-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,MW and Monday Only Class Schedule in Effect (Does not include MWF Classes),27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes End,27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Reading Day,28-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Final Exams,April 29- May 5,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Graduate Commencement,7-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Undergraduate Commencement,8-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Grades Due,11-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
